Id,Price
725,175096.60084320273
15856,232810.70655543223
5480,238500.5445709066
15664,363046.09025897965
14275,138081.94255217657
7633,205458.9367753517
13329,166662.49797785387
5502,213422.6798355524
4220,302202.39533309
11538,203961.5523426418
15975,273466.03942876955
3310,212836.8041609961
9286,160125.8882483227
11260,170959.86669672446
5214,111362.24239354269
11307,192096.7020572412
13543,355541.40165467677
615,178722.8702678524
3495,220497.95595681513
2321,242627.38422921472
12046,179533.48601813233
16688,140944.2606970701
12694,233878.4153451246
783,162929.22547294458
8968,152421.1634050684
13454,177325.90832294637
12190,293850.6331672912
11160,110963.28641875931
10291,198123.20217611658
891,294704.9252359495
2982,171736.66411103716
3818,258729.0602860679
2449,173114.1694985031
8317,168172.06456877588
4922,184872.81575649054
1257,246584.58563445313
9348,226588.99808368488
4176,185027.49560400686
10704,165484.47131950659
6624,117471.42451436794
5428,211905.9884853138
12749,178618.41527966651
8994,188613.74968693408
11513,136192.5131837619
3047,206146.84975666055
9519,206253.2862903062
12309,219333.6640617232
14081,262370.83395101095
8334,238682.524070023
6343,188047.5280444599
14788,127659.50150306986
15748,302769.7833703201
153,236377.56131956246
14149,182322.89392647767
269,209764.04217140068
5452,125908.99479681715
721,141366.80356580677
5079,278767.7948198365
2831,143106.47130118086
10614,110101.96331204547
10131,286366.47498646576
9996,350309.56596359756
3061,191010.28980534308
11733,374828.00507873483
3726,220840.60344795533
10929,204002.33951060678
9011,158947.37063667044
16182,300119.16751623416
4976,176286.96128983382
9897,222486.62261237664
1872,185092.60114285653
9205,505543.3506999107
5403,401617.83940614766
14074,200757.70793208893
6268,136353.84287105713
14232,177758.69863308212
8532,220292.79807573976
7034,293645.37887160014
6553,325928.74722358544
3133,178001.30685117387
8596,207270.72772738052
12389,250779.7188138456
14462,174297.57582719106
8860,313787.16576819157
8377,304576.5085757425
6367,302201.2547389051
6917,257535.8252825968
4216,167047.7890818903
5806,171826.63387602573
5438,178041.9117636548
6632,158764.33427903085
2650,150020.35868135493
5396,216289.5006390075
4044,146465.0120210612
1345,226145.275171752
856,182925.66646146233
12791,263513.1586085041
12499,217024.98551031534
12249,127992.0821625466
14641,147618.55065722665
1919,174540.40540572768
7848,197523.79221328627
10749,189206.59247048877
15554,186760.0506920433
15834,204562.06512956502
1355,133683.29648144083
15451,185539.70914350674
12401,210017.22447846696
10290,171720.9048237724
9462,117330.80746235957
3103,223766.7703532284
3420,136996.53129511693
12262,224784.8858522574
5032,141401.72575821797
8949,299713.5886706979
15567,231163.22907588334
16389,162329.45173728105
7809,83820.9570781895
8990,173234.20237113783
16089,197902.16949591367
12743,110712.57078504299
5132,121627.2382145949
1619,278603.7554965772
2428,104693.6272776105
16741,169300.2412959972
13193,216166.30941735892
12588,518960.9450838949
5067,164458.63270934083
14685,122448.47023266861
2292,181627.51055086468
5746,121891.5115553547
12578,160107.45067408087
14834,172875.69193015277
2147,168793.5254787681
8222,128645.03312183004
10419,302920.1229954298
11492,236575.56423546327
3006,219773.8004019511
8761,199798.94824550994
15371,371425.3296717735
16367,159292.01654183393
6317,298964.59639352915
10878,245782.81909820315
3895,142614.96343387416
8041,179389.64264156745
13428,467350.61583211756
14669,165517.57659294913
1006,177096.67958069703
12271,176848.16958690714
3764,456877.2084646014
7675,196425.05950706772
11709,263182.7857949151
8629,153132.3142513449
1105,367899.1396252602
6096,174664.80883882262
11727,215344.50632643388
5157,172546.9551981804
3679,147648.49457657084
1755,130404.19673917354
7391,136318.50423785776
7425,98422.44374868782
6882,441952.17142639094
10752,354090.97255149134
7472,218856.17554305648
14320,107249.51903117882
9596,150736.7715385211
5317,231315.17452883814
7378,94909.66139070311
16154,188690.40179646687
3464,215222.05822054483
4197,258633.4448077424
9477,118069.78425002881
12705,193582.1594482627
16426,209520.49013220638
1481,67228.02720406909
9946,265855.4086703584
12025,226598.57603009246
5341,209821.98474973365
9923,289939.01299065625
7953,252928.7708996926
11066,276622.3701013485
5037,188068.3285093258
2509,194504.71607598528
4937,274350.9853541337
12089,397591.9127982237
4964,165658.34835623731
16500,290887.55020044
4625,144674.80769833838
2363,412804.7974713491
8148,178403.43223879067
3804,181035.14249378158
4584,155457.9538303132
10694,112704.47605060317
2691,174409.7698423015
2983,219368.69685114681
13563,349943.62481691106
10747,213452.86267975802
1721,191298.95014998043
2789,284038.61085920647
7214,262266.32048820786
8659,224824.40488553248
5107,334542.1941079425
3843,221292.20452380544
14610,401209.44400122995
15505,168317.16423891505
5060,268405.12248950975
16055,229943.60925988224
14963,224042.7915946498
4118,145698.9365014754
1672,217290.42299293206
3209,167771.35416975425
16515,151530.65609659802
973,166547.25751000995
12529,172631.1372275984
5896,111526.0096563419
5450,368480.47609949845
3249,166093.3474394206
8911,182696.76160038245
5898,262635.1396769358
1024,181846.31760433494
4766,191065.5430935345
15804,189285.41322804615
14303,210672.2415540067
10707,200254.82534891894
6605,203591.37160133576
1138,451339.2867704722
14088,484344.08703009086
9154,194036.87651282534
8190,209760.62043962377
398,274140.0095144
13302,230665.9325607458
9696,167752.0920096393
